,a,b,sim,len-a,len-b
116,16844.0,12185.0,0.5168539325842697,78.0,57.0
117,16844.0,12256.0,0.5764705882352941,78.0,56.0
118,16844.0,12414.0,0.5309734513274337,78.0,95.0
119,16844.0,12557.0,0.6590909090909091,78.0,68.0
120,16844.0,13378.0,0.5833333333333334,78.0,74.0
121,16844.0,13519.0,0.5154639175257731,78.0,69.0
122,16844.0,13592.0,0.5784313725490197,78.0,83.0
123,16844.0,13746.0,0.5545454545454546,78.0,93.0
124,16844.0,13754.0,0.5346534653465347,78.0,77.0
125,16844.0,13841.0,0.5306122448979592,78.0,72.0
126,16844.0,14119.0,0.6129032258064516,78.0,72.0
127,16844.0,14150.0,0.6636363636363637,78.0,105.0
128,16881.0,12908.0,1.0,1.0,1.0
129,16986.0,13228.0,0.6666666666666666,3.0,2.0
130,16986.0,14566.0,0.75,3.0,4.0
131,16990.0,13068.0,1.0,1.0,1.0
132,16990.0,14705.0,1.0,1.0,1.0
133,17029.0,16953.0,1.0,1.0,1.0
134,17038.0,13371.0,0.5263157894736842,100.0,74.0
135,17038.0,13567.0,0.5166666666666667,100.0,82.0
136,17167.0,12080.0,0.5294117647058824,63.0,93.0
137,17167.0,12231.0,0.5125,63.0,58.0
138,17167.0,13371.0,0.5054945054945055,63.0,74.0
139,17167.0,13433.0,0.5263157894736842,63.0,53.0
140,17167.0,14115.0,0.5301204819277109,63.0,64.0
141,17173.0,14567.0,0.8157894736842105,36.0,33.0
142,17173.0,14937.0,0.8157894736842105,36.0,33.0
143,17186.0,12252.0,1.0,1.0,1.0
144,17331.0,12603.0,1.0,1.0,1.0
145,17331.0,16144.0,1.0,1.0,1.0
146,17355.0,13750.0,0.5754189944134078,113.0,169.0
147,17355.0,13832.0,0.609271523178808,113.0,130.0
148,17355.0,14351.0,0.5029585798816568,113.0,141.0
149,17355.0,14877.0,0.5818181818181818,113.0,148.0
150,17355.0,14982.0,0.5481927710843374,113.0,145.0
151,17391.0,12185.0,0.5365853658536586,69.0,57.0
152,17391.0,12414.0,0.5185185185185185,69.0,95.0
153,17391.0,12557.0,0.5568181818181818,69.0,68.0
154,17391.0,13378.0,0.5376344086021505,69.0,74.0
155,17391.0,13592.0,0.5510204081632653,69.0,83.0
156,17391.0,14119.0,0.5842696629213483,69.0,72.0
157,17391.0,14150.0,0.5535714285714286,69.0,105.0
158,17391.0,16844.0,0.6333333333333333,69.0,78.0
159,17408.0,12185.0,0.6527777777777778,62.0,57.0
160,17408.0,12230.0,0.5483870967741935,62.0,82.0
161,17408.0,12414.0,0.5392156862745098,62.0,95.0
162,17408.0,13378.0,0.5813953488372093,62.0,74.0
163,17408.0,13592.0,0.5934065934065934,62.0,83.0
164,17408.0,13841.0,0.5952380952380952,62.0,72.0
165,17408.0,14119.0,0.6962025316455697,62.0,72.0
166,17408.0,15534.0,0.5975609756097561,62.0,69.0
167,17408.0,16844.0,0.5053763440860215,62.0,78.0
168,17408.0,17391.0,0.5411764705882353,62.0,69.0
169,17414.0,13848.0,0.6,5.0,3.0
170,17414.0,16377.0,1.0,5.0,5.0
171,17546.0,17526.0,0.6545454545454545,37.0,54.0
172,17558.0,12485.0,1.0,1.0,1.0
173,17713.0,12100.0,0.5338345864661654,120.0,84.0
174,17713.0,12214.0,0.6041666666666666,120.0,111.0
175,17713.0,12396.0,0.576,120.0,77.0
176,17713.0,13648.0,0.5967741935483871,120.0,78.0
177,17713.0,13972.0,0.5070422535211268,120.0,94.0
178,17713.0,14237.0,0.5359477124183006,120.0,115.0
179,17713.0,15448.0,0.5272727272727272,120.0,132.0
180,17713.0,15776.0,0.59375,120.0,135.0
181,17740.0,12080.0,0.5357142857142857,79.0,93.0
182,17740.0,12100.0,0.5377358490566038,79.0,84.0
183,17740.0,12278.0,0.5876288659793815,79.0,75.0
184,17740.0,13586.0,0.5760869565217391,79.0,66.0
185,17820.0,13144.0,0.6,5.0,3.0
186,17831.0,15206.0,0.6666666666666666,2.0,3.0
187,17846.0,12080.0,0.5752212389380531,85.0,93.0
188,17846.0,12230.0,0.5607476635514018,85.0,82.0
189,17846.0,12796.0,0.53125,85.0,62.0
190,17846.0,13567.0,0.6534653465346535,85.0,82.0
191,17846.0,16104.0,0.568,85.0,111.0
192,17923.0,16323.0,1.0,1.0,1.0
193,17956.0,12080.0,0.6666666666666666,102.0,93.0
194,17956.0,12230.0,0.5333333333333333,102.0,82.0
195,17956.0,12803.0,0.5446428571428571,102.0,71.0
196,17956.0,13371.0,0.6146788990825688,102.0,74.0
197,17956.0,13567.0,0.5206611570247934,102.0,82.0
198,17956.0,14115.0,0.5229357798165137,102.0,64.0
199,17956.0,15659.0,0.5348837209302325,102.0,96.0
