,LAG1,LAG2,LAG180,LAG365,MA3,MA5,MA7,MA30,MAP7-3,M-X,M-Y,DE-TREND,DATE
2562888,-5.5575123708702385,-6.6685080729113455,4.352034741549691,-11.571059024943677,-5.020475333833203,-4.912952517355789,-5.39855139400007,-2.3337321262029396,-6.2553480239329105,True,False,-2.8354055577180226,2011-11-07
2562889,-2.8354055577180226,-5.5575123708702385,4.5185859991463495,-9.737841100680347,-3.705775928088395,-4.290845704203574,-4.866920771324045,-2.481995683421094,-6.485622163161646,True,False,-2.724409855676921,2011-11-08
2562890,-2.724409855676921,-2.8354055577180226,5.240692812298565,-4.182400954194797,-3.0762617075287717,-4.290961113273579,-4.422591735949605,-2.6784073887873965,-6.033356619850698,True,False,-3.6689697091913676,2011-11-09
2562891,-3.6689697091913676,-2.724409855676921,5.0183551810063385,-4.349183029931472,-3.31711785733952,-3.668854300121363,-4.097310319622786,-2.8581524274870316,-5.39855139400007,True,False,-3.5579740071502677,2011-11-10
2562892,-3.5579740071502677,-3.6689697091913676,4.296017549714115,-5.071520661223698,-5.169085118261378,-4.213414153635815,-4.756155887422951,-3.269378947668149,-4.866920771324045,True,False,-8.280311638442496,2011-11-11
2562893,-8.280311638442496,-3.5579740071502677,0.24034658508854534,-7.238302736960369,-7.539570897701757,-5.802418451594711,-5.343572883794545,-3.762086949330747,-4.422591735949604,True,False,-10.780427047512502,2011-11-12
2562894,-10.780427047512502,-8.280311638442496,-0.7597688239814566,-8.627307034919264,-8.280427047512504,-6.413644971775828,-5.375434324610583,-3.9733134695118646,-4.097310319622785,True,False,-5.780542456582507,2011-11-13
2562895,-5.780542456582507,-10.780427047512502,-0.5932175663847978,-8.294089110655936,-6.206468382508433,-6.091538158623613,-5.264438622569478,-4.078984434137426,-4.756155887422951,True,False,-2.0584356434302897,2011-11-14
2562896,-2.0584356434302897,-5.780542456582507,1.7400003578785324,-5.683093408614836,-2.669546754541401,-5.41387578991584,-4.899474666560119,-4.075396139503728,-5.343572883794544,True,False,-0.1696621636114024,2011-11-15
2562897,-0.1696621636114024,-2.0584356434302897,4.5732182821418625,1.2056800712040463,0.1451526512034095,-3.2251023100969554,-3.9948281708682205,-3.994030067092252,-5.375434324610582,True,False,2.6635557606519242,2011-11-16
2562898,2.6635557606519242,-0.1696621636114024,6.3508806508496285,-1.238879782310402,1.4413335384297004,-0.7029954969447385,-3.2251023100969554,-3.981182513199295,-5.264438622569479,True,False,1.830107018248583,2011-11-17
2562899,1.830107018248583,2.6635557606519242,7.572987464001848,-7.516772969158184,-2.003226315084751,-1.6475553504591882,-3.5426780366272785,-4.462779403750782,-4.899474666560119,True,False,-10.503341724154756,2011-11-18
2562900,-10.503341724154756,1.830107018248583,8.23953872159851,-8.461332822672636,-5.447786168599201,-2.7698929817514157,-3.0983490012528394,-4.503635553561528,-3.9948281708682205,True,False,-7.670123799891428,2011-11-19
